Type      , Summary                                   , Description                                                                                                  , Epic                                      , Priority, State, Assignee     , Sprint  , Estimation, Tags      , Story Points, Acceptance Criteria                           , Technical Notes, Dependencies
Task      , S3-T082 Seeder Products                   , "Productos dummy."                                                                                           , S3-HU20 Gestión de Productos              , Low     , To Do, Backend Dev  , Sprint 3, 1h        , backend   ,            0, DB poblada                                    , -              , S3-T081
Task      , S3-T083 Controller Product List           , "Endpoint público de productos."                                                                             , S3-HU20 Gestión de Productos              , Low     , To Do, Backend Dev  , Sprint 3, 2h        , backend   ,            0, Lista funcional                               , -              , S3-T081
User Story, S3-HU21 Pasarela de Pagos                 , "Como sistema, quiero procesar pagos con Stripe."                                                            , S3-E01 Backend: E-commerce                , Critical, To Do, Backend Dev  , Sprint 3, 16h       , payment   ,           13, "Cobros funcionales"                          , -              , -
Task      , S3-T084 Config Stripe                     , "Variables de entorno y librería PHP."                                                                       , S3-HU21 Pasarela de Pagos                 , Critical, To Do, Backend Dev  , Sprint 3, 1h        , config    ,            0, Stripe listo                                  , -              , S0-T030
Task      , S3-T085 Servicio Stripe                   , "Clase wrapper para crear Checkout Sessions."                                                                , S3-HU21 Pasarela de Pagos                 , High    , To Do, Backend Dev  , Sprint 3, 3h        , backend   ,            0, Servicio funcional                            , -              , S3-T084
Task      , S3-T086 Controller Checkout               , "Endpoint que recibe carrito y devuelve URL de Stripe."                                                      , S3-HU21 Pasarela de Pagos                 , Critical, To Do, Backend Dev  , Sprint 3, 4h        , backend   ,            0, Checkout funcional                            , -              , S3-T085
Task      , S3-T087 Webhook Handler                   , "Endpoint para recibir confirmación asíncrona."                                                              , S3-HU21 Pasarela de Pagos                 , Critical, To Do, Backend Dev  , Sprint 3, 4h        , backend   ,            0, Webhook activo                                , -              , S3-T085
Task      , S3-T088 Verificación Firma                , "Validar seguridad del webhook."                                                                             , S3-HU21 Pasarela de Pagos                 , Critical, To Do, Backend Dev  , Sprint 3, 2h        , security  ,            0, Seguridad OK                                  , -              , S3-T087
Epic      , S3-E02 Frontend: Tienda                   , "Interfaz de venta."                                                                                         , TierOne Project                           , High    , To Do, Frontend Dev , Sprint 3, 0h        , frontend  ,            0, Todas las historias completadas               , -              , -
User Story, S3-HU22 Carrito de Compra                 , "Como usuario, quiero añadir productos a mi cesta."                                                          , S3-E02 Frontend: Tienda                   , High    , To Do, Frontend Dev , Sprint 3, 10h       , frontend  ,            5, "Carrito persiste"                            , -              , -
Task      , S3-T089 Cart Context                      , "Estado global (Zustand) para items del carrito."                                                            , S3-HU22 Carrito de Compra                 , High    , To Do, Frontend Dev , Sprint 3, 3h        , frontend  ,            0, Contexto global                               , -              , S1-T056
Task      , S3-T090 Cart Drawer                       , "Sidebar deslizable con resumen."                                                                            , S3-HU22 Carrito de Compra                 , High    , To Do, Frontend Dev , Sprint 3, 4h        , ui        ,            0, Sidebar visual                                , -              , S3-T089
Task      , S3-T091 Página Tienda                     , "Catálogo visual."                                                                                           , S3-HU22 Carrito de Compra                 , Medium  , To Do, Frontend Dev , Sprint 3, 3h        , ui        ,            0, Catálogo terminado                            , -              , "S3-T083;S0-T022"
User Story, S3-HU23 Checkout Visual                   , "Como usuario, quiero pagar."                                                                                , S3-E02 Frontend: Tienda                   , Critical, To Do, Frontend Dev , Sprint 3, 4h        , frontend  ,            3, "Redirección a Stripe"                        , -              , -
Task      , S3-T092 Botón Pagar                       , "Llamada a API y redirección."                                                                               , S3-HU23 Checkout Visual                   , Critical, To Do, Frontend Dev , Sprint 3, 2h        , frontend  ,            0, Botón funcional                               , -              , "S3-T086;S3-T089"
Task      , S3-T093 Página Success                    , "Vista de agradecimiento."                                                                                   , S3-HU23 Checkout Visual                   , Low     , To Do, Frontend Dev , Sprint 3, 1h        , ui        ,            0, Vista terminada                               , -              , S3-T092
Epic      , S4-E01 Despliegue                         , "Puesta en producción."                                                                                      , TierOne Project                           , Critical, To Do, DevOps       , Sprint 4, 0h        , deploy    ,            0, Todas las historias completadas               , -              , -
User Story, S4-HU24 Infraestructura Producción        , "Como equipo, queremos la web online y segura."                                                              , S4-E01 Despliegue                         , Critical, To Do, DevOps       , Sprint 4, 12h       , ops       ,            8, "Web HTTPS accesible"                         , -              , -
Task      , S4-T094 AWS EC2 Prod                      , "Preparar servidor final."                                                                                   , S4-HU24 Infraestructura Producción        , Critical, To Do, DevOps       , Sprint 4, 2h        , ops       ,            0, Servidor listo                                , -              , S0-T029
Task      , S4-T095 Dominio y DNS                     , "Apuntar dominio real."                                                                                      , S4-HU24 Infraestructura Producción        , High    , To Do, DevOps       , Sprint 4, 1h        , ops       ,            0, Dominio activo                                , -              , S4-T094
Task      , S4-T096 SSL Let's Encrypt                 , "Configurar HTTPS."                                                                                          , S4-HU24 Infraestructura Producción        , Critical, To Do, DevOps       , Sprint 4, 2h        , security  ,            0, HTTPS activo                                  , -              , S4-T095
Task      , S4-T097 Deploy Script                     , "Automatizar actualización de código."                                                                       , S4-HU24 Infraestructura Producción        , High    , To Do, DevOps       , Sprint 4, 3h        , ops       ,            0, Deploy automático                             , -              , S4-T094
